gender,study_hours_per_day,social_media_hours_per_day,attendance_percentage,sleep_hours_per_day,parent_education_level,extra_curricular_activities,part_time_job,score
Female,7.8,7.2,1.8,7.1,Bachelor,Multiple,Yes,31.8
Female,4.3,5.2,10.3,8.4,Bachelor,Clubs,No,25.0
Female,6.3,2.2,17.2,7.5,High School,Multiple,Yes,43.1
Male,5.8,1.4,43.1,5.0,Master,Arts,No,42.8
Female,2.1,2.4,51.1,8.0,Bachelor,Clubs,No,28.9
Female,4.6,0.9,14.1,4.8,Bachelor,Arts,No,23.9
Other,11.6,7.5,42.5,8.8,Bachelor,Sports,No,59.4
Female,3.0,6.3,34.2,9.9,Master,Multiple,No,22.5
Other,1.6,3.7,18.3,6.3,Bachelor,None,No,15.1
Male,5.0,6.9,0.7,6.7,High School,None,No,10.0
Male,9.5,2.0,46.7,4.3,Bachelor,Multiple,No,57.3
Male,7.0,5.7,68.6,4.1,Bachelor,None,No,44.7
Male,8.2,6.8,22.6,9.5,PhD,Multiple,Yes,32.0
Other,2.3,2.9,13.2,4.8,Master,Clubs,No,10.0
Female,7.4,6.1,88.7,6.7,Bachelor,None,No,52.5
Male,3.9,2.4,27.5,8.9,High School,Sports,No,21.2
Female,10.0,2.4,22.4,9.3,Master,Clubs,No,44.1
Other,7.6,0.9,85.7,7.1,Bachelor,Arts,No,73.8
Other,2.4,3.5,81.7,7.4,PhD,Multiple,Yes,53.2
Other,0.8,5.8,44.8,8.0,High School,Multiple,No,20.7
Male,0.5,7.5,48.9,9.8,High School,Sports,Yes,10.0
Female,4.5,4.8,21.8,7.6,High School,None,Yes,20.0
Female,3.2,6.9,7.8,7.4,Bachelor,Multiple,No,11.1
Female,7.8,6.6,57.3,4.1,PhD,Arts,No,37.4
Other,6.0,1.4,9.8,4.5,None,None,No,26.7
Male,3.2,3.9,44.9,7.5,Bachelor,Clubs,No,28.9
Other,1.8,0.9,94.0,9.6,Bachelor,Multiple,Yes,29.5
Other,1.5,5.5,95.3,9.2,Bachelor,Arts,No,15.5
Female,10.4,7.6,23.9,9.9,High School,Sports,Yes,32.3
Other,2.9,1.1,62.4,7.2,Master,Clubs,No,42.8
Female,7.8,5.9,47.4,8.7,None,Clubs,No,43.2
Male,9.7,5.1,87.6,9.0,Master,Multiple,Yes,74.9
Female,7.4,4.7,27.1,7.9,High School,Multiple,No,42.9
Male,10.3,3.1,0.4,6.0,Bachelor,Arts,No,44.9
Female,4.7,2.8,16.3,6.8,Master,Clubs,No,26.7
Other,11.5,0.4,35.0,9.1,High School,Multiple,No,54.1
Other,1.6,1.7,31.6,5.8,High School,None,Yes,10.0
Male,1.2,0.1,79.1,9.5,Bachelor,None,Yes,33.7
Male,7.9,4.7,68.1,5.4,Bachelor,Multiple,Yes,50.5
Male,11.3,0.8,30.0,8.5,Bachelor,None,No,68.5
Female,9.7,7.0,45.8,7.8,High School,None,Yes,44.1
Female,0.9,4.2,9.6,8.5,None,None,No,10.0
Male,3.4,5.6,89.8,6.6,Bachelor,Sports,Yes,29.4
Other,11.2,3.3,93.5,9.6,High School,Sports,No,66.8
Female,3.0,4.5,98.0,7.8,Master,Sports,Yes,43.4
Female,9.4,7.5,86.9,5.7,None,Multiple,Yes,38.5
Female,9.9,0.7,17.4,7.8,Bachelor,Clubs,Yes,51.5
Male,5.9,2.0,4.6,5.7,High School,Clubs,No,22.4
Male,4.6,6.2,58.0,5.8,High School,None,No,20.8
Male,5.4,0.8,91.3,6.4,Bachelor,Clubs,No,52.5
Male,2.7,0.6,17.7,9.1,Bachelor,Clubs,No,28.8
Male,10.7,2.9,0.7,7.0,None,Clubs,No,55.3
Other,5.4,0.7,80.5,8.1,None,Sports,No,62.5
Other,10.6,4.7,7.7,6.4,High School,Sports,Yes,41.8
Male,1.3,1.8,41.4,5.6,Master,Clubs,No,16.8
Female,11.9,7.2,67.9,9.7,Bachelor,Clubs,No,69.6
Male,5.3,6.3,23.7,7.6,None,Clubs,No,24.0
Other,0.6,5.6,8.4,9.6,Bachelor,Arts,Yes,10.0
Other,0.5,4.9,77.0,5.2,Bachelor,Sports,No,12.6
Female,9.0,6.9,63.0,4.9,Master,Clubs,Yes,45.5
Other,7.9,1.8,98.8,9.1,PhD,None,Yes,63.6
Male,9.6,7.0,34.4,8.1,High School,Clubs,No,46.6
Female,1.3,6.3,6.2,5.1,High School,Multiple,No,10.0
Male,0.4,6.0,73.4,5.6,High School,Clubs,No,22.4
Male,6.1,4.5,52.2,8.8,Master,Sports,No,39.3
Female,4.7,2.0,21.3,6.7,PhD,Sports,Yes,36.0
Male,5.5,3.4,78.2,8.0,Bachelor,Clubs,Yes,45.8
Other,11.9,6.3,20.4,5.9,High School,Multiple,No,47.2
Male,11.6,0.3,26.1,6.3,Bachelor,Arts,No,71.1
Female,11.3,6.3,9.3,9.9,High School,Arts,No,31.5
Female,9.4,1.9,39.9,5.5,High School,None,No,45.0
Female,4.3,1.2,41.9,7.0,Bachelor,Clubs,No,40.1
Male,4.9,0.9,51.5,9.1,None,Clubs,No,41.4
Female,6.6,0.2,70.9,5.4,High School,Multiple,Yes,57.0
Female,10.0,4.2,90.6,6.5,Bachelor,Sports,No,77.8
Male,0.8,1.7,13.8,7.7,None,Clubs,No,10.0
Other,5.1,7.9,5.4,6.9,High School,Sports,No,10.0
Male,1.0,4.6,1.9,6.8,High School,Arts,No,10.0
Female,6.2,1.1,14.4,6.2,Master,Clubs,No,40.4
Female,10.8,5.5,65.8,7.5,Master,Sports,No,60.9
Male,9.4,7.2,72.7,7.7,None,Sports,Yes,57.3
Other,2.7,6.0,78.7,7.9,Bachelor,Clubs,Yes,20.6
Female,11.7,0.6,24.4,4.4,High School,Arts,No,64.4
Female,8.0,7.2,30.6,7.8,Bachelor,None,No,43.7
Female,0.1,6.4,48.3,9.7,Bachelor,Sports,No,10.0
Male,3.1,1.3,6.3,7.2,Master,Arts,No,31.7
Female,3.1,0.4,61.1,8.3,Bachelor,Multiple,No,42.2
Other,0.8,4.5,98.4,7.3,PhD,None,Yes,30.8
Female,11.5,1.2,36.1,9.1,PhD,Clubs,Yes,62.3
Female,5.7,6.7,75.3,9.6,Master,None,No,36.2
Other,10.7,2.9,50.0,5.1,Bachelor,Sports,Yes,55.6
Female,3.9,7.3,12.8,6.6,High School,Sports,Yes,10.0
Male,1.5,4.5,58.2,6.4,High School,Multiple,No,16.0
Male,5.7,1.5,30.0,6.4,None,None,Yes,27.1
Male,1.4,1.1,3.4,4.8,High School,Clubs,No,10.0
Other,5.8,4.6,63.5,8.9,Bachelor,Arts,No,53.9
Female,11.0,6.1,85.9,4.2,Bachelor,Multiple,No,63.5
Male,6.2,6.3,34.5,7.2,Master,Clubs,No,34.1
Other,7.4,2.2,39.0,8.0,High School,Clubs,No,56.3
Female,1.9,1.6,89.1,5.2,High School,Multiple,Yes,29.2
Other,0.5,0.1,81.4,9.4,Master,Arts,Yes,23.9
Male,1.3,5.4,71.5,9.0,High School,Clubs,No,18.0
Male,7.2,0.6,24.9,6.8,High School,Sports,Yes,33.5
Male,1.1,3.4,91.0,6.5,PhD,None,Yes,34.5
Other,4.5,4.8,15.4,5.4,Master,Arts,No,10.2
Other,6.6,7.5,62.7,8.4,Bachelor,Sports,No,49.7
Male,4.7,2.5,2.9,4.8,Master,Sports,No,21.0
Other,2.0,2.0,64.4,8.1,Bachelor,Arts,Yes,29.2
Male,3.3,5.2,27.7,9.1,Master,Sports,No,15.5
Male,11.1,5.0,45.0,5.4,Master,Arts,No,59.2
Female,8.1,2.7,34.5,9.2,High School,None,Yes,35.1
Other,6.0,7.4,17.3,4.2,Bachelor,Multiple,Yes,16.0
Male,0.2,6.8,62.2,9.5,None,Multiple,No,10.0
Male,11.9,1.8,88.2,4.7,None,Multiple,No,77.3
Other,8.1,1.9,95.9,7.9,Master,Sports,No,68.2
Female,3.8,4.1,19.2,5.5,Bachelor,Arts,Yes,10.3
Female,10.6,6.2,71.7,9.0,Bachelor,Multiple,No,59.2
Male,3.1,0.4,66.4,7.1,Master,Multiple,No,50.0
Other,6.5,5.5,34.3,4.8,PhD,Clubs,Yes,35.0
Female,7.6,5.2,1.9,7.4,Master,Sports,Yes,29.6
Other,2.7,1.9,69.0,6.4,Bachelor,Arts,Yes,44.7
Other,11.7,5.5,94.5,8.0,High School,Clubs,No,89.7
Male,9.0,7.5,63.2,9.3,High School,Sports,No,43.2
Female,6.7,0.4,43.5,6.5,Bachelor,Arts,No,46.3
Male,2.2,2.6,52.5,5.7,High School,Clubs,No,21.4
Female,0.6,3.5,20.0,4.1,Bachelor,Clubs,No,10.0
Female,3.8,7.2,75.1,7.4,Bachelor,Arts,No,39.5
Female,9.0,7.7,74.6,6.4,PhD,Arts,Yes,55.8
Female,3.2,3.6,14.6,6.2,Bachelor,Multiple,No,21.6
Female,6.5,6.0,87.8,5.1,Bachelor,Arts,No,54.2
Other,8.7,4.3,26.9,6.6,High School,Clubs,Yes,37.3
Male,1.3,4.3,98.2,9.9,None,Clubs,No,21.5
Other,8.2,2.2,38.3,5.8,High School,Clubs,Yes,45.4
Female,1.1,1.7,17.8,7.6,Master,Clubs,No,18.3
Male,11.6,2.3,35.2,8.7,High School,Arts,No,73.3
Female,5.9,4.5,44.0,8.5,Bachelor,Arts,No,45.9
Male,1.8,0.2,6.9,6.0,Bachelor,Arts,No,14.9
Other,4.1,7.3,57.8,7.7,High School,None,No,17.8
Male,5.0,1.3,59.8,9.2,High School,Sports,Yes,27.4
Male,9.1,1.8,73.9,4.1,Bachelor,None,Yes,54.8
Male,8.9,4.1,2.9,6.6,Bachelor,Multiple,No,42.4
Male,7.3,5.7,54.1,5.3,Master,Sports,Yes,44.0
Male,1.3,0.8,5.3,6.3,Bachelor,None,Yes,10.0
Female,1.8,2.5,70.1,6.5,Bachelor,None,No,26.2
Male,1.1,7.7,5.6,8.5,Master,Clubs,Yes,10.0
Male,6.9,2.1,91.2,4.6,Bachelor,None,No,54.9
Other,10.5,2.5,70.2,7.1,PhD,Arts,No,83.8
Male,5.2,6.7,50.7,7.4,High School,None,No,36.7
Other,1.9,0.4,44.2,7.0,Bachelor,Clubs,No,26.9
Female,6.7,3.7,13.1,8.4,High School,Multiple,Yes,35.3
Male,9.7,3.0,29.1,6.3,High School,Multiple,No,47.6
Other,8.9,2.5,86.9,9.7,High School,Sports,Yes,54.1
Other,10.6,2.3,90.4,6.9,Bachelor,Arts,Yes,79.5
Female,3.3,0.7,0.1,7.4,High School,Arts,No,20.9
Male,2.3,2.5,59.4,9.0,High School,Sports,Yes,31.0
Male,10.6,0.3,71.9,5.7,PhD,Sports,No,77.8
Other,7.9,6.2,61.9,4.5,Master,None,No,44.0
Male,3.7,3.2,8.2,8.2,Bachelor,Clubs,No,24.2
Other,8.9,3.6,21.8,6.9,Master,Sports,No,50.1
Male,9.8,7.1,25.0,9.4,PhD,Arts,Yes,33.2
Other,7.4,5.3,83.2,9.9,Bachelor,Arts,No,51.5
Male,8.3,0.1,46.3,6.4,High School,Arts,Yes,49.1
Female,4.5,7.5,48.7,6.5,Master,Clubs,No,23.9
Male,6.5,1.9,93.5,6.4,Bachelor,Clubs,Yes,61.9
Male,6.3,0.9,63.7,5.9,Bachelor,Clubs,Yes,42.0
Female,10.2,6.1,89.9,8.7,Bachelor,Arts,No,76.0
Male,10.1,4.0,45.7,8.6,Bachelor,None,No,64.9
Female,10.0,3.5,14.9,6.9,Master,Sports,No,50.3
Male,0.1,2.0,93.0,4.3,High School,Multiple,No,30.4
Other,9.0,4.4,45.9,5.9,PhD,Multiple,No,50.6
Other,9.1,2.2,18.2,5.8,Master,Clubs,No,46.6
Male,8.1,7.2,30.2,8.9,Bachelor,Sports,No,42.6
Male,9.1,1.7,5.1,4.5,Bachelor,None,Yes,46.9
Male,10.1,7.1,46.8,8.8,High School,Sports,No,56.7
Other,5.6,4.5,85.3,8.0,None,Multiple,No,48.6
Male,6.0,6.6,93.4,8.4,High School,Clubs,Yes,46.1
Other,1.5,5.7,93.3,6.6,Master,Multiple,Yes,22.7
Female,4.6,5.6,12.5,8.1,Bachelor,Arts,Yes,25.2
Other,7.7,2.6,38.2,7.7,High School,None,No,52.0
Other,9.4,1.9,2.8,8.6,High School,None,No,47.5
Female,2.6,1.7,85.5,6.7,PhD,None,No,48.2
Other,1.7,6.9,35.9,6.8,High School,Arts,No,10.0
Male,8.0,6.6,63.1,7.9,Master,Sports,No,47.9
Male,0.0,3.5,71.5,4.6,High School,Clubs,Yes,19.9
Other,2.1,1.1,43.0,6.6,Bachelor,Clubs,Yes,23.6
Male,0.3,3.1,30.6,9.8,None,Sports,No,10.0
Other,2.0,5.0,96.2,4.2,Bachelor,None,No,24.6
Male,2.2,3.6,96.4,5.9,Bachelor,None,No,29.7
Male,4.7,6.2,28.9,5.9,High School,Clubs,No,25.6
Other,4.8,8.0,48.0,7.8,Bachelor,Arts,No,28.1
Male,10.5,1.5,97.3,4.6,Bachelor,Sports,No,78.3
Other,6.1,3.7,0.5,7.8,Bachelor,Multiple,Yes,29.1
Male,8.7,3.4,41.3,4.6,Master,Arts,No,49.7
Male,1.2,2.4,10.0,4.6,High School,Arts,Yes,10.0
Female,2.7,1.6,50.9,8.4,Bachelor,Clubs,No,25.5
Female,8.4,0.5,2.5,5.9,PhD,Clubs,Yes,44.3
Other,0.6,7.1,40.7,9.9,Master,Clubs,No,10.0
Female,5.8,3.4,22.1,4.2,PhD,Sports,No,41.6
Other,7.2,4.0,53.3,6.7,High School,Sports,No,41.3
Female,7.2,7.3,99.6,4.7,Master,Clubs,No,49.8
Male,0.3,6.2,80.1,6.1,Bachelor,Arts,No,31.0
Other,3.9,1.0,84.6,10.0,High School,Clubs,Yes,41.9
Other,7.6,4.5,63.5,9.3,Master,Multiple,No,44.8
Male,1.8,3.5,4.2,4.3,Bachelor,Multiple,No,10.0
Other,8.3,6.4,20.7,7.4,High School,Sports,Yes,29.0
Other,9.0,5.8,92.5,7.9,High School,None,No,63.9
Female,11.8,5.5,36.6,5.3,Master,Sports,No,53.9
Other,2.5,2.7,10.4,4.9,High School,Clubs,No,18.4
Male,9.9,6.4,70.2,9.4,High School,Sports,No,53.7
Female,6.2,0.4,29.9,9.8,Bachelor,None,Yes,37.6
Female,4.5,1.3,26.9,10.0,High School,None,No,29.8
Male,1.5,2.7,99.8,8.7,Master,Sports,No,49.0
Male,8.8,0.6,85.8,8.0,Bachelor,None,Yes,66.6
Female,2.8,1.9,40.8,6.1,Bachelor,None,No,28.1
Other,4.5,6.6,98.0,5.0,Master,Clubs,No,38.3
Female,0.8,7.6,65.0,4.5,Bachelor,None,Yes,15.9
Male,9.6,2.4,74.2,8.2,High School,None,Yes,52.4
Female,9.2,2.1,3.2,8.7,Master,Clubs,No,48.8
Male,8.8,2.2,12.2,9.0,Bachelor,Clubs,Yes,45.5
Female,3.6,2.2,63.3,9.5,High School,Sports,No,32.1
Other,2.1,0.3,89.9,9.3,Bachelor,None,No,37.8
Female,7.7,7.4,62.4,10.0,Master,Clubs,No,42.8
Female,6.0,1.7,13.4,5.5,Master,Sports,No,32.4
Male,2.1,3.4,11.6,8.6,PhD,None,No,19.7
Male,8.2,0.1,84.4,7.5,Master,None,No,75.7
Male,11.9,6.9,13.9,5.6,Master,None,No,54.9
Female,9.0,5.8,52.0,9.9,Master,Arts,No,57.6
Other,8.9,7.6,3.7,9.4,None,Multiple,No,25.9
Male,11.4,6.3,8.1,4.8,High School,Clubs,No,37.5
Male,2.4,2.5,67.2,4.2,Bachelor,Arts,Yes,22.3
Female,6.8,2.0,68.9,8.1,Bachelor,Sports,No,51.8
Male,11.8,5.6,34.1,7.6,High School,Arts,No,63.4
Other,2.0,2.9,21.6,9.6,High School,Sports,No,10.0
Other,8.4,4.5,81.4,5.4,High School,Sports,Yes,52.1
Male,7.0,0.1,21.7,4.5,Bachelor,Clubs,No,42.0
Male,7.0,0.5,54.2,5.6,Master,Multiple,No,49.1
Female,8.4,4.3,96.8,4.1,PhD,Sports,No,60.8
Other,11.2,4.5,14.8,4.2,Master,Clubs,No,48.1
Other,9.4,6.0,94.1,9.5,Master,Sports,No,65.2
Male,0.7,1.1,18.3,6.1,Bachelor,Sports,No,13.3
Female,10.2,4.1,56.7,6.5,High School,None,No,49.7
Other,2.7,1.6,37.7,4.1,High School,Clubs,Yes,12.4
Other,4.5,0.7,96.5,5.6,Bachelor,Clubs,No,49.3
Female,5.5,3.3,27.4,8.8,High School,Clubs,Yes,31.7
Female,5.8,1.3,40.0,7.7,Bachelor,None,No,47.8
Other,5.2,1.8,98.3,8.5,Bachelor,None,Yes,55.6
Other,11.2,2.5,53.6,6.7,Bachelor,Arts,No,66.7
Female,8.5,2.1,50.3,5.9,PhD,Sports,No,54.2
Other,7.6,0.7,25.8,6.9,Bachelor,Sports,No,49.4
Male,0.6,0.7,70.1,5.9,High School,Multiple,No,25.4
Male,10.8,1.5,1.4,9.0,Bachelor,Clubs,No,54.6
Female,10.9,0.4,5.0,5.8,Bachelor,Sports,Yes,44.8
Female,9.4,5.0,59.9,8.0,High School,None,No,56.4
Female,0.1,2.3,34.2,4.8,High School,None,No,10.0
Male,0.7,2.2,95.3,8.1,Bachelor,Clubs,Yes,35.8
Other,2.7,2.7,90.3,9.5,PhD,Clubs,Yes,44.7
Male,1.6,5.3,71.4,7.7,Bachelor,Clubs,Yes,17.7
Other,4.8,7.0,81.8,7.4,Master,Sports,Yes,46.9
Male,11.1,6.1,66.7,9.8,Master,None,No,62.3
Other,5.7,5.8,12.6,7.8,High School,Multiple,Yes,28.8
Male,0.2,3.9,76.6,5.6,Bachelor,Multiple,No,16.6
Female,3.4,5.6,21.0,5.8,Bachelor,Arts,Yes,10.0
Male,0.5,4.4,32.3,8.2,High School,None,Yes,10.0
Other,0.4,1.7,81.9,8.4,Bachelor,Arts,No,40.1
Male,3.3,1.7,53.7,5.8,Bachelor,Multiple,No,25.4
Male,3.3,2.4,86.0,6.1,High School,Clubs,Yes,32.9
Male,9.4,7.3,21.3,9.9,Master,Clubs,No,40.5
Female,11.7,4.4,60.8,4.6,Master,None,Yes,60.0
Male,4.5,5.9,8.4,6.4,PhD,None,Yes,25.1
Female,5.1,2.8,64.3,4.4,High School,None,Yes,35.9
Female,10.1,3.3,76.3,8.9,PhD,Multiple,No,74.0
Male,3.2,1.0,58.5,4.6,High School,Arts,No,26.5
Male,1.9,1.4,26.6,8.0,High School,Clubs,No,18.9
Male,10.2,6.6,3.1,4.3,Master,None,No,35.5
Other,0.6,4.7,11.9,8.0,Bachelor,Multiple,No,10.0
Male,7.4,2.7,62.2,9.1,Bachelor,Clubs,No,49.7
Female,6.7,6.4,93.4,6.4,Bachelor,Sports,No,47.0
Male,4.2,2.0,20.7,7.1,None,Multiple,No,32.7
Other,3.8,7.8,73.5,6.4,Bachelor,Sports,Yes,25.5
Male,9.3,2.8,86.6,5.8,Bachelor,Sports,No,59.5
Other,1.0,2.7,52.1,8.8,Bachelor,Sports,No,22.9
Other,2.8,2.5,66.9,5.6,Bachelor,Multiple,No,36.2
Male,8.8,1.0,81.5,8.3,PhD,Multiple,No,78.3
Female,6.6,0.9,26.1,5.2,Bachelor,Sports,No,40.4
Other,1.5,5.2,29.7,5.5,Bachelor,Clubs,No,10.0
Male,10.6,7.0,0.1,6.0,PhD,Clubs,Yes,41.5
Male,4.7,6.3,96.3,7.5,Bachelor,Clubs,No,51.7
Female,9.9,1.1,91.8,6.7,None,Sports,No,65.2
Other,9.5,4.4,76.5,8.5,None,Arts,No,60.6
Other,7.5,0.8,7.9,5.3,Bachelor,Clubs,No,40.5
Male,5.9,0.4,44.8,4.1,High School,None,Yes,35.5
Male,11.8,5.3,10.2,8.7,Bachelor,Sports,No,49.9
Female,1.7,4.3,1.6,8.9,High School,Clubs,No,10.0
Female,8.7,0.7,61.6,4.4,High School,Sports,No,51.4
Other,2.3,0.3,96.1,7.7,Bachelor,Multiple,No,46.2
Other,4.1,7.9,90.3,6.3,PhD,None,Yes,31.8
Male,3.7,0.2,69.7,8.8,Bachelor,Multiple,Yes,53.3
Other,11.4,3.6,9.7,9.2,PhD,Sports,No,44.9
Female,11.6,4.0,27.4,9.1,PhD,None,No,49.6
Female,2.2,0.9,32.0,8.7,High School,Sports,No,28.0
Male,0.3,1.4,76.3,5.6,High School,Clubs,No,21.8
Female,8.6,2.8,80.2,8.9,Master,Clubs,Yes,65.2
Female,5.0,6.1,38.5,7.2,Master,Sports,Yes,31.6
Female,1.1,4.1,41.8,4.3,Bachelor,None,No,10.0
Female,8.2,5.1,4.5,6.7,PhD,Arts,No,39.5
Male,6.5,7.9,28.9,9.7,None,Arts,No,19.6
Male,11.8,6.1,45.1,9.3,High School,Clubs,No,59.4
Other,2.7,3.5,11.7,4.6,Bachelor,None,No,19.0
Female,4.8,3.6,45.3,8.5,Bachelor,Arts,Yes,33.9
Other,6.5,5.0,85.3,8.8,High School,Clubs,No,46.1
Male,9.5,5.3,58.1,5.6,High School,Multiple,Yes,48.5
Male,6.6,4.0,7.9,6.8,None,Clubs,No,26.1
Male,7.4,5.2,19.2,8.3,Bachelor,Sports,No,37.2
Male,2.7,0.2,47.5,6.6,Master,None,No,26.3
Male,10.2,3.4,36.1,4.7,Master,Arts,Yes,51.1
Male,5.1,2.2,35.9,8.2,Bachelor,Arts,No,41.0
Male,1.7,1.0,52.9,9.5,Bachelor,Multiple,No,29.8
Female,8.0,0.8,58.4,7.9,Bachelor,Clubs,Yes,57.7
Other,2.6,4.8,79.7,8.6,High School,Arts,Yes,26.0
Male,1.2,4.2,34.1,6.2,High School,Sports,No,10.0
Female,10.3,2.0,80.5,5.1,High School,Sports,No,71.9
Female,5.5,3.8,33.9,7.9,Master,Sports,No,47.4
Other,9.0,3.9,5.5,6.0,Master,None,Yes,45.1
Male,3.5,1.6,55.4,9.2,Bachelor,Arts,No,34.1
Other,9.4,5.2,58.8,4.7,Bachelor,Sports,Yes,48.3
Male,1.3,6.2,93.5,6.6,High School,Sports,No,26.0
Female,4.3,6.3,72.6,6.4,Bachelor,None,No,35.6
Female,11.7,4.8,91.8,9.6,Bachelor,None,No,70.4
Female,9.5,4.1,90.8,4.9,Bachelor,None,No,67.4
Female,6.0,0.5,60.5,4.1,High School,Clubs,Yes,33.9
Other,4.1,2.3,52.8,5.4,Master,Sports,Yes,24.3
Male,10.5,0.7,55.7,8.9,Bachelor,Arts,No,64.1
Male,6.5,7.7,97.8,5.3,Master,Arts,Yes,39.0
Other,9.1,1.1,77.3,5.4,Master,Multiple,No,74.9
Male,9.0,1.2,10.6,4.8,PhD,None,Yes,37.1
Female,0.2,7.1,77.8,8.3,High School,Sports,No,12.0
Male,1.5,7.6,17.1,4.4,High School,Sports,No,10.0
Female,7.9,6.1,44.7,6.0,High School,Arts,Yes,43.7
Other,1.9,0.0,21.0,5.7,High School,Multiple,No,23.6
Male,3.1,0.0,69.0,7.3,Bachelor,Clubs,No,50.2
Other,11.4,3.0,87.7,8.4,Bachelor,Clubs,No,87.4
Male,6.7,1.1,29.0,7.2,Bachelor,Sports,No,55.2
Female,9.0,0.1,8.2,9.6,High School,Clubs,No,34.9
Other,6.7,3.7,29.8,9.7,Master,None,No,28.7
Male,6.6,7.5,67.2,6.2,None,Arts,No,32.9
Female,1.1,2.6,32.9,8.7,High School,Arts,Yes,15.2
Other,4.1,5.3,27.8,8.4,Bachelor,Sports,No,26.6
Other,3.4,5.2,18.4,9.4,Master,Sports,No,15.4
Male,4.7,2.0,49.8,6.7,Bachelor,Clubs,Yes,40.4
Male,9.6,5.2,27.6,7.2,None,None,No,35.5
Male,4.5,1.7,73.1,6.5,Bachelor,None,No,43.7
Female,5.4,1.0,7.7,9.1,High School,Sports,Yes,23.8
Male,4.8,5.6,66.4,5.4,High School,Sports,Yes,24.7
Other,1.1,0.9,23.8,5.4,Bachelor,Clubs,Yes,11.1
Other,5.3,8.0,48.9,6.2,High School,Arts,No,31.1
Male,2.3,1.5,28.6,5.4,High School,Clubs,No,16.0
Male,2.2,4.8,72.3,7.4,Bachelor,Sports,No,42.2
Other,1.1,3.3,94.5,4.8,PhD,Clubs,Yes,34.8
Female,4.3,1.0,91.7,5.9,PhD,Multiple,No,54.5
Male,9.1,0.2,58.3,9.5,Bachelor,Sports,No,63.0
Male,3.3,5.0,46.3,6.5,High School,Sports,No,26.6
Other,3.7,6.5,81.8,8.5,High School,Multiple,No,44.9
Male,7.7,6.7,68.3,4.7,High School,None,No,44.9
Female,2.4,3.9,18.4,5.5,Bachelor,Sports,No,13.8
Other,10.8,6.2,82.1,8.8,Bachelor,None,No,65.4
Male,6.2,5.4,42.9,8.6,Bachelor,None,No,40.0
Other,5.4,5.8,18.9,6.3,Bachelor,None,Yes,23.6
Male,6.7,3.9,28.2,9.7,High School,Sports,No,34.0
Male,2.0,5.1,26.8,9.5,Bachelor,Clubs,No,10.0
Male,7.4,6.4,51.9,9.8,High School,Sports,Yes,35.6
Female,4.4,3.2,23.4,6.6,Bachelor,Clubs,Yes,29.3
Female,10.8,6.4,12.4,5.2,Bachelor,Sports,No,35.7
Other,2.0,4.7,12.4,7.8,Bachelor,Multiple,Yes,10.0
Male,6.1,1.3,58.3,8.1,Bachelor,Multiple,No,59.2
Male,7.2,0.2,73.5,4.8,Bachelor,Clubs,No,52.2
Female,0.4,2.9,32.2,8.7,High School,Multiple,No,22.9
Male,4.4,4.4,3.5,4.1,None,Clubs,Yes,10.0
Female,8.8,6.7,12.7,6.9,Bachelor,Multiple,No,40.1
Male,9.8,1.0,91.5,6.0,High School,Sports,Yes,73.1
Other,3.8,6.4,49.4,8.4,Bachelor,Sports,No,25.3
Male,9.6,6.9,45.4,5.9,Bachelor,Clubs,Yes,48.1
Male,11.6,1.2,3.8,9.0,Master,Sports,No,62.2
Female,10.3,6.8,72.9,7.6,PhD,Clubs,Yes,66.1
Male,1.4,7.9,52.8,8.8,None,Multiple,Yes,10.0
Male,8.9,5.8,20.2,9.9,PhD,Sports,Yes,30.2
Female,3.8,6.3,11.0,8.1,Bachelor,Clubs,No,23.7
Other,11.9,8.0,38.3,9.9,Bachelor,None,No,48.9
Other,5.8,4.8,83.7,4.2,None,Sports,Yes,33.7
Female,1.5,2.5,86.5,6.0,Master,Arts,No,34.8
Female,8.7,6.7,60.3,4.6,High School,Sports,Yes,43.3
Female,3.9,4.9,72.8,5.6,Master,Arts,No,40.3
Female,12.0,4.6,11.5,9.0,None,Arts,Yes,48.5
Female,11.8,2.0,58.8,4.2,Bachelor,Sports,No,75.3
Other,7.9,6.1,66.7,7.1,Bachelor,Clubs,No,52.3
Other,1.6,0.7,20.1,7.4,High School,Arts,No,22.3
Female,8.2,7.4,88.0,7.4,High School,Sports,Yes,44.2
Male,1.1,2.6,19.5,6.9,Bachelor,Sports,Yes,10.0
Female,0.4,1.0,31.3,8.7,High School,Multiple,No,23.2
Male,9.9,3.5,62.1,4.8,Bachelor,Clubs,Yes,56.4
Female,2.5,0.3,63.8,5.9,Bachelor,Sports,No,35.2
Female,4.5,5.5,69.9,7.7,Master,None,Yes,33.1
Other,11.7,7.2,11.2,8.1,Bachelor,Clubs,Yes,46.1
Male,4.0,6.7,84.9,6.4,High School,Arts,Yes,22.0
Male,3.6,1.0,53.3,9.3,High School,None,No,24.4
Other,11.0,1.0,47.1,6.5,High School,Arts,No,66.4
Other,1.3,6.5,98.1,6.4,Master,Arts,No,32.5
Other,9.1,7.4,74.0,4.2,Master,Clubs,Yes,45.7
Other,11.9,3.7,11.8,7.3,High School,Sports,No,60.3
Male,10.8,4.0,75.7,8.3,High School,Arts,No,69.9
Male,7.8,2.5,9.5,4.7,Master,None,No,34.7
Female,3.8,7.2,2.7,5.8,Master,Multiple,Yes,10.0
